Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 09 Boardings,CY 08 Boardings,% Change,,
235.0,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,76401.0,85095.0,-0.1022,,
236.0,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,73969.0,74167.0,-0.0027,,
237.0,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,73841.0,76168.0,-0.0306,,
238.0,SW,TX,CLL,College Station,Easterwood Field,P,N,73287.0,80948.0,-0.0946,,
239.0,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,73159.0,45998.0,0.5905,,
240.0,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,71389.0,77533.0,-0.0792,,
241.0,GL,ND,MOT,Minot,Minot International,P,N,67080.0,71595.0,-0.0631,,
242.0,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,66893.0,79912.0,-0.1629,,
243.0,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,66627.0,51765.0,0.2871,,
244.0,SW,TX,ACT,Waco,Waco Regional,P,N,66089.0,68381.0,-0.0335,,
245.0,WP,HI,MKK,Kaunakakai,Molokai,P,N,65984.0,89468.0,-0.2625,,
246.0,SO,FL,PGD,Punta Gorda,Charlotte County,P,N,64650.0,53073.0,0.2181,,
248.0,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,62592.0,65351.0,-0.0422,,
249.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,62498.0,68197.0,-0.0836,,
250.0,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,62210.0,64379.0,-0.0337,,
251.0,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,60353.0,64865.0,-0.0696,,
252.0,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,60028.0,69835.0,-0.1404,,
253.0,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,59662.0,58863.0,0.0136,,
254.0,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,59007.0,52287.0,0.1285,,
255.0,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,58197.0,56771.0,0.0251,,
256.0,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,57472.0,66322.0,-0.1334,,
257.0,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,55174.0,50984.0,0.0822,,
258.0,AL,AK,OME,Nome,Nome,P,N,54994.0,59984.0,-0.0832,,
259.0,WP,CA,RDD,Redding,Redding Municipal,P,N,54141.0,63331.0,-0.1451,,
260.0,GL,MI,SAW,Gwinn,Sawyer International,P,N,53802.0,56172.0,-0.0422,,
263.0,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,51561.0,48275.0,0.0681,,
265.0,NM,ID,SUN,Hailey,Friedman Memorial,P,N,49549.0,64233.0,-0.2286,,
266.0,SO,GA,CSG,Columbus,Columbus Metropolitan,P,N,48526.0,51288.0,-0.0539,,
267.0,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,43952.0,47191.0,-0.0686,,
268.0,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,43631.0,54925.0,-0.2056,,
269.0,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,43399.0,42929.0,0.0109,,
272.0,WP,HI,LNY,Lanai City,Lanai,P,N,42594.0,52075.0,-0.1821,,
274.0,NE,MA,MVY,Vineyard Haven,Marthas Vineyard,P,N,42248.0,45002.0,-0.0612,,
276.0,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,42130.0,36035.0,0.1691,,
277.0,SO,AL,DHN,Dothan,Dothan Regional,P,N,42071.0,47859.0,-0.1209,,
278.0,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,41516.0,38269.0,0.0848,,
279.0,AL,AK,AKN,King Salmon,King Salmon,P,N,40530.0,42310.0,-0.0421,,
281.0,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,39494.0,40674.0,-0.029,,
282.0,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,39359.0,42870.0,-0.0819,,
283.0,NM,UT,SGU,St. George,St George Municipal,P,N,39037.0,46586.0,-0.162,,
284.0,AL,AK,HOM,Homer,Homer,P,N,38532.0,44288.0,-0.13,,
285.0,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,38391.0,34712.0,0.106,,
286.0,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,36275.0,35669.0,0.017,,
288.0,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,35863.0,34597.0,0.0366,,
289.0,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,33456.0,29672.0,0.1275,,
292.0,CE,IA,SUX,Sioux City,Sioux Gateway/Col. Bud Day Field,P,N,33096.0,49871.0,-0.3364,,
293.0,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,33044.0,39200.0,-0.157,,
294.0,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,33000.0,33988.0,-0.0291,,
295.0,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,32443.0,32108.0,0.0104,,
296.0,AL,AK,SCC,Deadhorse,Deadhorse,P,N,31395.0,99719.0,-0.6852,,
297.0,NM,CO,FNL,Fort Collins/Loveland,Fort Collins-Loveland Municipal,P,N,31079.0,31094.0,-0.0005,,
298.0,WP,AZ,PGA,Page,Page Municipal,P,N,30574.0,33118.0,-0.0768,,
299.0,AL,AK,DLG,Dillingham,Dillingham,P,N,29214.0,32215.0,-0.0932,,
302.0,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,28368.0,36935.0,-0.2319,,
303.0,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,27901.0,29594.0,-0.0572,,
305.0,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,26991.0,29606.0,-0.0883,,
306.0,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,26869.0,28232.0,-0.0483,,
307.0,CE,MO,COU,Columbia,Columbia Regional,P,N,26842.0,12719.0,1.1104,,
308.0,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,26759.0,29820.0,-0.1026,,
309.0,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,26729.0,26193.0,0.0205,,
310.0,AL,AK,DUT,Unalaska,Unalaska,P,N,26705.0,28234.0,-0.0542,,
311.0,NM,WY,COD,Cody,Yellowstone Regional,P,N,26631.0,25863.0,0.0297,,
312.0,WP,NV,VGT,Las Vegas,North Las Vegas,P,N,26526.0,67389.0,-0.6064,,
314.0,WP,MP,GRO,Rota Island,Rota International,P,N,26040.0,27776.0,-0.0625,,
315.0,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,P,N,25277.0,37082.0,-0.3183,,
316.0,NM,MT,BTM,Butte,Bert Mooney,P,N,25178.0,30431.0,-0.1726,,
317.0,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,25160.0,35033.0,-0.2818,,
318.0,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,25074.0,16489.0,0.5207,,
319.0,SW,TX,GGG,Longview,East Texas Regional,P,N,24944.0,24835.0,0.0044,,
320.0,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,24826.0,25354.0,-0.0208,,
322.0,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,23913.0,26222.0,-0.0881,,
323.0,WP,CA,CIC,Chico,Chico Municipal,P,N,23232.0,24809.0,-0.0636,,
324.0,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,23083.0,13837.0,0.6682,,
325.0,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,22395.0,35458.0,-0.3684,,
326.0,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,22255.0,26831.0,-0.1705,,
327.0,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,21934.0,22007.0,-0.0033,,
328.0,SW,TX,BPT,Beaumont/Port Arthur,Jack Brooks Regional,P,N,21208.0,28086.0,-0.2449,,
329.0,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,21100.0,23225.0,-0.0915,,
330.0,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,21039.0,25756.0,-0.1831,,
331.0,SO,PR,VQS,Isla De Vieques,Antonio Rivera Rodriguez,P,N,20759.0,21517.0,-0.0352,,
332.0,WP,NV,EKO,Elko,Elko Regional,P,N,20668.0,25523.0,-0.1902,,
334.0,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,20291.0,24806.0,-0.182,,
336.0,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,20136.0,7961.0,1.5293,,
337.0,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,20053.0,26970.0,-0.2565,,
338.0,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,19834.0,23901.0,-0.1702,,
339.0,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,19458.0,25541.0,-0.2382,,
340.0,SO,MS,MEI,Meridian,Key Field,P,N,18560.0,19599.0,-0.053,,
341.0,SO,KY,PAH,Paducah,Barkley Regional,P,N,18542.0,21654.0,-0.1437,,
342.0,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,17988.0,19901.0,-0.0961,,
344.0,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,17391.0,17837.0,-0.025,,
348.0,AL,AK,ANI,Aniak,Aniak,P,N,16255.0,18526.0,-0.1226,,
349.0,GL,MI,MKG,Muskegon,Muskegon County,P,N,15886.0,30051.0,-0.4714,,
350.0,GL,MN,INL,International Falls,Falls International,P,N,15861.0,16590.0,-0.0439,,
351.0,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,15482.0,18946.0,-0.1828,,
352.0,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,15472.0,16665.0,-0.0716,,
353.0,GL,MI,CVX,Charlevoix,Charlevoix Municipal,P,N,15427.0,17854.0,-0.1359,,
354.0,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,15372.0,16640.0,-0.0762,,
355.0,AL,AK,LHD,Anchorage,Lake Hood,P,N,15018.0,15184.0,-0.0109,,
356.0,AL,AK,MRI,Anchorage,Merrill Field,P,N,14769.0,15206.0,-0.0287, ,
357.0,NE,ME,RKD,Rockland,Knox County Regional,P,N,14461.0,13866.0,0.0429,,
358.0,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,14363.0,14981.0,-0.0413,,
359.0,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,14294.0,20161.0,-0.291,,
360.0,NM,WY,RIW,Riverton,Riverton Regional,P,N,14186.0,17035.0,-0.1672,,
362.0,NM,WY,SHR,Sheridan,Sheridan County,P,N,14181.0,17710.0,-0.1993,,
363.0,GL,SD,PIR,Pierre,Pierre Regional,P,N,13692.0,15983.0,-0.1433,,
364.0,AL,AK,MBA,Manokotak,Manokotak,P,N,13570.0,13393.0,0.0132,,
365.0,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,13513.0,13385.0,0.0096,,
366.0,SW,TX,DRT,Del Rio,Del Rio International,P,N,13436.0,16028.0,-0.1617,,
367.0,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,13365.0,1696.0,6.8803,,
368.0,NM,WA,CLM,Port Angeles,William R Fairchild International,P,N,13340.0,12672.0,0.0527,,
369.0,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,13319.0,15985.0,-0.1668,,
370.0,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,13192.0,18762.0,-0.2969,,
371.0,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,13173.0,13269.0,-0.0072,,
372.0,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,12972.0,12576.0,0.0315,,
373.0,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,12940.0,13835.0,-0.0647,,
374.0,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,P,N,12608.0,16697.0,-0.2449,,
375.0,AL,AK,YAK,Yakutat,Yakutat,P,N,12158.0,11028.0,0.1025,,
378.0,WP,CA,OXR,Oxnard,Oxnard,P,N,12060.0,15961.0,-0.2444,,
379.0,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L. Bill Hart Field,P,N,11727.0,10630.0,0.1032,,
380.0,NE,MA,EWB,New Bedford,New Bedford Regional,P,N,11680.0,13908.0,-0.1602,,
381.0,WP,AZ,PRC,Prescott,Ernest A. Love Field,P,N,11668.0,5816.0,1.0062,,
382.0,WP,CA,CEC,Crescent City,Jack McNamara Field,P,N,11490.0,12541.0,-0.0838,,
383.0,GL,ND,ISN,Williston,Sloulin Field International,P,N,11338.0,12163.0,-0.0678,,
384.0,WP,CA,IYK,Inyokern,Inyokern,P,N,11081.0,11149.0,-0.0061,,
385.0,CE,IA,MCW,Mason City,Mason City Municipal,P,N,11076.0,11678.0,-0.0515,,
386.0,SW,NM,FMN,Farmington,Four Corners Regional,P,N,10854.0,17044.0,-0.3632,,
387.0,AL,AK,WRG,Wrangell,Wrangell,P,N,10790.0,10601.0,0.0178,,
388.0,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,10747.0,11468.0,-0.0629,,
389.0,SO,KY,OWB,Owensboro,Owensboro-Daviess County,P,N,10720.0,103.0,103.0777,,
391.0,AL,AK,UNK,Unalakleet,Unalakleet,P,N,10571.0,12327.0,-0.1425,,
392.0,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,10234.0,10344.0,-0.0106,,
393.0,CE,NE,EAR,Kearney,Kearney Regional,P,N,10113.0,11956.0,-0.1541,,
394.0,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,P,N,10100.0,10562.0,-0.0437,,
395.0,CE,KS,GCK,Garden City,Garden City Regional,P,N,10014.0,11453.0,-0.1256,,
,,,231.0,,,,N , ,,,,
,,,368.0,Primary Airports,,, ,,,,,
396.0,AL,AK,ENM,Emmonak,Emmonak,CS,--,9872.0,9097.0,0.0852,,
397.0,SW,NM,SAF,Santa Fe,Santa Fe Municipal,CS,--,9767.0,355.0,26.5127,,
399.0,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B. Heilig Field,CS,--,9221.0,10608.0,-0.1308,,
400.0,AL,AK,CDB,Cold Bay,Cold Bay,CS,--,8968.0,9105.0,-0.015,,
401.0,GL,MN,HIB,Hibbing,Range Regional,CS,--,8926.0,8896.0,0.0034,,
402.0,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,CS,--,8924.0,9164.0,-0.0262,,
403.0,AL,AK,GST,Gustavus,Gustavus,CS,--,8822.0,11828.0,-0.2541,,
404.0,NE,RI,WST,Westerly,Westerly State,CS,--,8804.0,11201.0,-0.214,,
405.0,NM,WY,LAR,Laramie,Laramie Regional,CS,--,8663.0,10371.0,-0.1647,,
406.0,NE,RI,BID,Block Island,Block Island State,CS,--,8516.0,10384.0,-0.1799,,
407.0,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,CS,--,8364.0,7746.0,0.0798,,
408.0,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,--,7956.0,7634.0,0.0422,,
409.0,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,CS,--,7924.0,10288.0,-0.2298,,
410.0,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,--,7738.0,8298.0,-0.0675,,
411.0,NM,CO,CEZ,Cortez,Cortez Municipal,CS,--,7698.0,8401.0,-0.0837,,
412.0,AL,AK,HNH,Hoonah,Hoonah,CS,--,7651.0,7680.0,-0.0038,,
413.0,GL,MI,APN,Alpena,Alpena County Regional,CS,--,7637.0,7519.0,0.0157,,
414.0,CE,KS,HYS,Hays,Hays Regional,CS,--,7518.0,8540.0,-0.1197,,
416.0,AL,AK,GAL,Galena,Edward G. Pitka Sr,CS,--,7447.0,7784.0,-0.0433,,
418.0,AL,AK,KSM,St Mary's,St Mary's,CS,--,7213.0,9808.0,-0.2646,,
419.0,AL,AK,HNS,Haines,Haines,CS,--,7099.0,7035.0,0.0091,,
422.0,GL,MI,ESC,Escanaba,Delta County,CS,--,6925.0,5307.0,0.3049,,
423.0,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,--,6897.0,5061.0,0.3628,,
424.0,NM,CO,TEX,Telluride,Telluride Regional,CS,--,6740.0,13325.0,-0.4942,,
426.0,AL,AK,T44,Kodiak,Trident Basin,CS,--,6634.0,11218.0,-0.4086,,
428.0,AL,AK,SGY,Skagway,Skagway,CS,--,6468.0,10727.0,-0.397,,
429.0,EA,PA,AOO,Altoona,Altoona-Blair County,CS,--,6439.0,11051.0,-0.4173,,
430.0,GL,OH,LCK,Columbus,Rickenbacker International,CS,--,6415.0,11706.0,-0.452,,
431.0,AL,AK,AQH,Quinhagak,Quinhagak,CS,--,6387.0,6950.0,-0.081,,
433.0,AL,AK,ILI,Iliamna,Iliamna,CS,--,6328.0,9545.0,-0.337,,
434.0,SO,MS,GLH,Greenville,Mid Delta Regional,CS,--,6290.0,6310.0,-0.0032,,
435.0,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,--,6279.0,7161.0,-0.1232,,
436.0,AL,AK,SOV,Seldovia,Seldovia,CS,--,6270.0,7696.0,-0.1853,,
437.0,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,--,6255.0,7911.0,-0.2093,,
438.0,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,CS,--,6157.0,665.0,8.2586,,
439.0,NE,NH,LEB,Lebanon,Lebanon Municipal,CS,--,6089.0,8294.0,-0.2659,,
440.0,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,--,5930.0,5275.0,0.1242,,
441.0,GL,SD,ATY,Watertown,Watertown Regional,CS,--,5824.0,4975.0,0.1707,,
442.0,WP,CA,IPL,Imperial,Imperial County,CS,--,5641.0,7061.0,-0.2011,,
443.0,SW,TX,VCT,Victoria,Victoria Regional,CS,--,5625.0,8415.0,-0.3316,,
445.0,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,--,5521.0,6002.0,-0.0801,,
446.0,AL,AK,VAK,Chevak,Chevak,CS,--,5507.0,4741.0,0.1616,,
448.0,NM,UT,CDC,Cedar City,Cedar City Regional,CS,--,5486.0,7776.0,-0.2945,,
449.0,GL,MI,IMT,Iron Mountain,Ford,CS,--,5475.0,3998.0,0.3694,,
450.0,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,--,5378.0,6219.0,-0.1352,,
451.0,SO,GA,AHN,Athens,Athens/Ben Epps,CS,--,5335.0,3449.0,0.5468,,
452.0,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,--,5192.0,4345.0,0.1949,,
453.0,AL,AK,IIK,Kipnuk,Kipnuk,CS,--,5133.0,4924.0,0.0424,,
454.0,EA,PA,DUJ,Brookville,Dubois Regional,CS,--,5096.0,3230.0,0.5777,,
455.0,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,--,4985.0,6055.0,-0.1767,,
456.0,AL,AK,MCG,McGrath,McGrath,CS,--,4893.0,5278.0,-0.0729,,
457.0,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St. Robert Regional Forney Field,CS,--,4869.0,4784.0,0.0178,,
459.0,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,--,4809.0,4252.0,0.131,,
460.0,AL,AK,WLK,Selawik,Selawik,CS,--,4679.0,5920.0,-0.2096,,
461.0,EA,WV,LWB,Lewisburg,Greenbrier Valley,CS,--,4651.0,7153.0,-0.3498,,
462.0,AL,AK,PHO,Point Hope,Point Hope,CS,--,4644.0,5236.0,-0.1131,,
463.0,AL,AK,CGA,Craig,Craig,CS,--,4470.0,5844.0,-0.2351,,
464.0,WP,AZ,SOW,Show Low,Show Low Regional,CS,--,4470.0,5325.0,-0.1606,,
465.0,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,--,4458.0,5038.0,-0.1151,,
466.0,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,--,4410.0,4103.0,0.0748,,
467.0,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,--,4386.0,4636.0,-0.0539,,
468.0,AL,AK,WTK,Noatak,Noatak,CS,--,4383.0,5536.0,-0.2083,,
469.0,AL,AK,MOU,Mountain Village,Mountain Village,CS,--,4373.0,5100.0,-0.1425,,
470.0,EA,PA,LNS,Lititz,Lancaster,CS,--,4333.0,1673.0,1.59,,
471.0,NM,MT,WYS,West Yellowstone,Yellowstone,CS,--,4331.0,4186.0,0.0346,,
473.0,AL,AK,DUY,Kongiganak,Kongiganak,CS,--,4143.0,3835.0,0.0803,,
474.0,AL,AK,SVA,Savoonga,Savoonga,CS,--,4088.0,4156.0,-0.0164,,
475.0,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,--,3984.0,3216.0,0.2388,,
476.0,NM,UT,CNY,Moab,Canyonlands Field,CS,--,3982.0,2870.0,0.3875,,
477.0,AL,AK,Z09,Kasigluk,Kasigluk,CS,--,3969.0,3871.0,0.0253,,
478.0,AL,AK,SDP,Sand Point,Sand Point,CS,--,3957.0,4296.0,-0.0789,,
481.0,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,--,3925.0,3861.0,0.0166,,
483.0,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,--,3856.0,3832.0,0.0063,,
484.0,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,--,3828.0,7217.0,-0.4696,,
485.0,NM,UT,VEL,Vernal,Vernal Regional,CS,--,3805.0,5474.0,-0.3049,,
486.0,CE,MO,JLN,Joplin,Joplin Regional,CS,--,3776.0,4892.0,-0.2281,,
487.0,AL,AK,AWI,Wainwright,Wainwright,CS,--,3770.0,3547.0,0.0629,,
488.0,NE,ME,AUG,Augusta,Augusta State,CS,--,3663.0,3554.0,0.0307,,
489.0,AL,AK,KEB,English Bay,Nanwalek,CS,--,3566.0,3533.0,0.0093,,
490.0,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,CS,--,3560.0,4415.0,-0.1937,,
491.0,AL,AK,GAM,Gambell,Gambell,CS,--,3489.0,3793.0,-0.0801,,
492.0,GL,ND,JMS,Jamestown,Jamestown Regional,CS,--,3471.0,2769.0,0.2535,,
493.0,NM,WA,ORS,Eastsound,Orcas Island,CS,--,3421.0,4109.0,-0.1674,,
494.0,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,--,3417.0,2207.0,0.5483,,
495.0,AL,AK,MTM,Metlakatla,Metlakatla,CS,--,3403.0,3344.0,0.0176,,
496.0,GL,IL,MWA,Marion,Williamson County Regional,CS,--,3399.0,3631.0,-0.0639,,
497.0,AL,AK,KVL,Kivalina,Kivalina,CS,--,3386.0,3784.0,-0.1052,,
498.0,AL,AK,2A9,Kotlik,Kotlik,CS,--,3377.0,4237.0,-0.203,,
499.0,CE,KS,DDC,Dodge City,Dodge City Regional,CS,--,3373.0,4701.0,-0.2825,,
501.0,AL,AK,SHH,Shishmaref,Shishmaref,CS,--,3369.0,3476.0,-0.0308,,
502.0,AL,AK,HLA,Huslia,Huslia,CS,--,3324.0,3331.0,-0.0021,,
503.0,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,--,3309.0,3359.0,-0.0149,,
504.0,AL,AK,AUK,Alakanuk,Alakanuk,CS,--,3302.0,4015.0,-0.1776,,
505.0,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,--,3298.0,3549.0,-0.0707,,
506.0,EA,NY,MSS,Massena,Massena International-Richards Field,CS,--,3252.0,971.0,2.3491,,
507.0,AL,AK,6R7,Old Harbor,Old Harbor,CS,--,3226.0,3282.0,-0.0171,,
508.0,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,--,3207.0,3907.0,-0.1792,,
509.0,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,--,3203.0,3083.0,0.0389,,
510.0,AL,AK,KLG,Kalskag,Kalskag,CS,--,3199.0,3147.0,0.0165,,
511.0,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,--,3130.0,3301.0,-0.0518,,
512.0,AL,AK,CFK,Chefornak,Chefornak,CS,--,3126.0,3236.0,-0.034,,
513.0,AL,AK,BVK,Buckland,Buckland,CS,--,3105.0,4016.0,-0.2268,,
514.0,AL,AK,0AK,Pilot Station,Pilot Station,CS,--,3058.0,3563.0,-0.1417,,
515.0,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,--,3009.0,2933.0,0.0259,,
517.0,AL,AK,4K5,Ouzinkie,Ouzinkie,CS,--,2999.0,2071.0,0.4481,,
518.0,AL,AK,EEK,Eek,Eek,CS,--,2948.0,3292.0,-0.1045,,
519.0,NM,WA,MWH,Moses Lake,Grant County International,CS,--,2920.0,1369.0,1.1329,,
520.0,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,--,2894.0,3029.0,-0.0446,,
521.0,CE,KS,SLN,Salina,Salina Municipal,CS,--,2868.0,5170.0,-0.4453,,
523.0,AL,AK,KVC,King Cove,King Cove,CS,--,2866.0,2647.0,0.0827,,
525.0,AL,AK,NUL,Nulato,Nulato,CS,--,2833.0,2917.0,-0.0288,,
527.0,AL,AK,PGM,Port Graham,Port Graham,CS,--,2794.0,2916.0,-0.0418,,
528.0,NM,MT,SDY,Sidney,Sidney-Richland Municipal,CS,--,2766.0,2031.0,0.3619,,
529.0,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,--,2763.0,2892.0,-0.0446,,
530.0,AL,AK,TLT,Tuluksak,Tuluksak,CS,--,2762.0,2630.0,0.0502,,
531.0,GL,MI,MBL,Manistee,Manistee County-Blacker,CS,--,2735.0,2087.0,0.3105,,
532.0,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,--,2721.0,3092.0,-0.12,,
533.0,AL,AK,SMK,St Michael,St Michael,CS,--,2711.0,3493.0,-0.2239,,
534.0,EA,NY,6N5,New York,East 34th Street,CS,--,2677.0,5515.0,-0.5146,,
535.0,AL,AK,ORI,Port Lions,Port Lions,CS,--,2666.0,2386.0,0.1174,,
536.0,NM,WY,WRL,Worland,Worland Municipal,CS,--,2650.0,2996.0,-0.1155,,
537.0,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,--,2626.0,3630.0,-0.2766,,
538.0,AL,AK,AQT,Nuiqsut,Nuiqsut,CS,--,2597.0,2819.0,-0.0788,,
539.0,EA,PA,BFD,Bradford,Bradford Regional,CS,--,2593.0,4898.0,-0.4706,,
540.0,AL,AK,RSH,Russian Mission,Russian Mission,CS,--,2587.0,2708.0,-0.0447,,
542.0,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,--,2538.0,2850.0,-0.1095,,
,,,126.0,Nonprimary Commercial Service Airports,,,--,612827.0,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,, ,
,,,,,,,,,,, ,
,,,,,,,,,,, , 
,,,,,,,,,,,, 
